Start Year,Country,Start Month,Disaster Subtype,COUNT
2005,Iran (Islamic Republic of),7,Riverine flood,1
2005,Iran (Islamic Republic of),8,Flood (General),1
2005,Iran (Islamic Republic of),8,Riverine flood,1
2005,Iran (Islamic Republic of),11,Ground movement,1
2005,Japan,3,Ground movement,1
2005,Japan,4,Ground movement,1
2005,Japan,6,Riverine flood,1
2005,Japan,8,Tropical cyclone,1
2005,Japan,9,Tropical cyclone,1
2005,Japan,12,Storm (General),1
2005,Kazakhstan,2,Flash flood,1
2005,Kyrgyzstan,6,Riverine flood,1
2005,Malaysia,7,Flash flood,1
2005,Malaysia,8,Forest fire,1
2005,Malaysia,11,Flash flood,1
2005,Myanmar,9,Landslide (wet),1
2005,Nepal,7,Riverine flood,1
2005,Nepal,9,Riverine flood,1
2005,Nepal,10,Avalanche (wet),1
2005,Pakistan,1,Storm (General),1
2005,Pakistan,2,Riverine flood,1
2005,Pakistan,3,Flash flood,1
2005,Pakistan,3,Riverine flood,1
2005,Pakistan,6,Heat wave,1
2005,Pakistan,6,Riverine flood,1
2005,Pakistan,7,Riverine flood,1
2005,Pakistan,10,Ground movement,1
2005,Pakistan,12,Avalanche (wet),1
2005,Philippines,3,Tropical cyclone,1
2005,Philippines,5,Flood (General),1
2005,Philippines,9,Tropical cyclone,1
2005,Philippines,12,Riverine flood,1
2005,Republic of Korea,4,Forest fire,1
2005,Republic of Korea,8,Flash flood,1
2005,Republic of Korea,8,Tropical cyclone,1
2005,Republic of Korea,9,Tropical cyclone,1
2005,Republic of Korea,12,Storm (General),1
2005,Saudi Arabia,1,Flash flood,1
2005,Saudi Arabia,4,Flash flood,1
2005,Sri Lanka,11,Riverine flood,1
2005,Taiwan (Province of China),6,Flash flood,1
2005,Taiwan (Province of China),7,Tropical cyclone,2
2005,Taiwan (Province of China),9,Tropical cyclone,1
2005,Taiwan (Province of China),10,Tropical cyclone,1
2005,Tajikistan,2,Avalanche (wet),1
2005,Tajikistan,6,Riverine flood,1
2005,Tajikistan,7,Flash flood,1
2005,Thailand,1,Drought,1
2005,Thailand,5,Storm (General),1
2005,Thailand,8,Forest fire,1
2005,Thailand,8,Riverine flood,1
2005,Thailand,9,Tropical cyclone,1
2005,Thailand,11,Flash flood,1
2005,Türkiye,1,Blizzard/Winter storm,1
2005,Türkiye,1,Ground movement,1
