Start Year,Country,Disaster Subtype,COUNT
2009,United States of America,Tropical cyclone,2
2009,Uruguay,Riverine flood,1
2009,Venezuela (Bolivarian Republic of),Drought,1
2010,Antigua and Barbuda,Tropical cyclone,1
2010,Argentina,Cold wave,1
2010,Barbados,Drought,1
2010,Barbados,Tropical cyclone,1
2010,Belize,Tropical cyclone,1
2010,Bolivia (Plurinational State of),Cold wave,1
2010,Bolivia (Plurinational State of),Drought,1
2010,Bolivia (Plurinational State of),Forest fire,1
2010,Bolivia (Plurinational State of),Riverine flood,1
2010,Brazil,Drought,1
2010,Brazil,Heat wave,1
2010,Brazil,Riverine flood,3
2010,Canada,Blizzard/Winter storm,1
2010,Chile,Cold wave,1
2010,Chile,Tsunami,1
2010,Colombia,Landslide (wet),2
2010,Colombia,Riverine flood,3
2010,Colombia,Wildfire (General),1
2010,Costa Rica,Riverine flood,2
2010,Dominican Republic,Flash flood,1
2010,Dominican Republic,Riverine flood,1
2010,Dominican Republic,Tropical cyclone,1
2010,Ecuador,Ash fall,1
2010,Ecuador,Riverine flood,2
2010,El Salvador,Tropical cyclone,3
2010,Grenada,Drought,1
2010,Guatemala,Ash fall,1
2010,Guatemala,Landslide (wet),1
2010,Guatemala,Riverine flood,1
2010,Guatemala,Tropical cyclone,3
2010,Guyana,Drought,1
2010,Haiti,Flash flood,1
2010,Haiti,Ground movement,1
2010,Haiti,Riverine flood,2
2010,Haiti,Storm (General),1
2010,Haiti,Tropical cyclone,1
2010,Honduras,Riverine flood,2
2010,Honduras,Tropical cyclone,2
2010,Jamaica,Tropical cyclone,1
2010,Mexico,Ground movement,1
2010,Mexico,Landslide (wet),2
2010,Mexico,Riverine flood,2
2010,Mexico,Tropical cyclone,4
2010,Nicaragua,Riverine flood,2
2010,Nicaragua,Tropical cyclone,2
2010,Panama,Riverine flood,4
2010,Paraguay,Cold wave,1
2010,Peru,Cold wave,1
2010,Peru,Landslide (wet),1
2010,Peru,Riverine flood,1
2010,Saint Lucia,Drought,1
2010,Saint Lucia,Flash flood,1
2010,Saint Lucia,Tropical cyclone,1
2010,Saint Vincent and the Grenadines,Drought,1
2010,Saint Vincent and the Grenadines,Tropical cyclone,1
2010,Trinidad and Tobago,Drought,1
2010,United States of America,Blizzard/Winter storm,3
2010,United States of America,Ground movement,1
2010,United States of America,Lightning/Thunderstorms,1
2010,United States of America,Riverine flood,3
2010,United States of America,Severe weather,2
2010,United States of America,Storm (General),1
2010,United States of America,Tornado,3
2010,United States of America,Tropical cyclone,2
2010,Uruguay,Cold wave,1
2010,Venezuela (Bolivarian Republic of),Riverine flood,1
2010,Venezuela (Bolivarian Republic of),Tropical cyclone,1
2011,Argentina,Ash fall,1
2011,Bolivia (Plurinational State of),Landslide (wet),1
2011,Bolivia (Plurinational State of),Riverine flood,1
2011,Brazil,Riverine flood,8
2011,Canada,Forest fire,1
2011,Canada,Riverine flood,1
2011,Canada,Tornado,1
2011,Canada,Tropical cyclone,1
2011,Chile,Ash fall,1
2011,Chile,Forest fire,1
2011,Chile,"Land fire (Brush, Bush, Pasture)",1
2011,Chile,Severe winter conditions,1
2011,Colombia,Landslide (wet),1
2011,Colombia,Riverine flood,2
2011,Costa Rica,Riverine flood,1
2011,Dominica,Tropical cyclone,1
2011,Dominican Republic,Riverine flood,1
2011,Dominican Republic,Tropical cyclone,2
2011,Ecuador,Landslide (wet),1
2011,Ecuador,Riverine flood,1
2011,El Salvador,Riverine flood,1
2011,Guatemala,Cold wave,1
2011,Guatemala,Ground movement,1
2011,Guatemala,Landslide (wet),1
2011,Guatemala,Riverine flood,3
2011,Guatemala,Tropical cyclone,1
2011,Haiti,Riverine flood,2
2011,Haiti,Tropical cyclone,2
2011,Honduras,Riverine flood,1
2011,Martinique,Tropical cyclone,1
2011,Mexico,Cold wave,1
2011,Mexico,Drought,1
2011,Mexico,Ground movement,1
2011,Mexico,"Land fire (Brush, Bush, Pasture)",1
2011,Mexico,Riverine flood,3
2011,Mexico,Tropical cyclone,5
2011,Nicaragua,Riverine flood,1
2011,Panama,Riverine flood,2
2011,Paraguay,Hail,1
2011,Peru,Blizzard/Winter storm,1
2011,Peru,Cold wave,1
2011,Peru,Ground movement,1
2011,Peru,Riverine flood,3
2011,Puerto Rico,Tropical cyclone,2
2011,Saint Vincent and the Grenadines,Riverine flood,1
2011,United States of America,Blizzard/Winter storm,5
2011,United States of America,Drought,1
2011,United States of America,Forest fire,2
2011,United States of America,Heat wave,1
2011,United States of America,"Land fire (Brush, Bush, Pasture)",1
2011,United States of America,Riverine flood,4
2011,United States of America,Storm (General),2
2011,United States of America,Tornado,5
2011,United States of America,Tropical cyclone,2
2011,Venezuela (Bolivarian Republic of),Flash flood,1
2011,Venezuela (Bolivarian Republic of),Riverine flood,2
2012,Argentina,Riverine flood,1
2012,Argentina,Severe weather,1
2012,Argentina,Storm (General),1
2012,Bolivia (Plurinational State of),Riverine flood,1
2012,Brazil,Drought,1
2012,Brazil,Riverine flood,2
2012,Canada,Blizzard/Winter storm,1
2012,Canada,Riverine flood,1
2012,Canada,Severe weather,1
2012,Chile,Ground movement,1
2012,Chile,Riverine flood,1
2012,Chile,Wildfire (General),1
2012,Colombia,Riverine flood,3
2012,Costa Rica,Ground movement,1
2012,Costa Rica,Riverine flood,1
2012,Cuba,Riverine flood,1
2012,Cuba,Tropical cyclone,2
2012,Dominican Republic,Riverine flood,2
2012,Dominican Republic,Tropical cyclone,2
2012,Ecuador,Forest fire,1
2012,Ecuador,Riverine flood,1
2012,Guatemala,Ash fall,1
2012,Guatemala,Drought,1
2012,Guatemala,Ground movement,1
2012,Haiti,Riverine flood,3
2012,Haiti,Tropical cyclone,2
2012,Honduras,Drought,1
2012,Jamaica,Tropical cyclone,1
2012,Mexico,Ground movement,1
2012,Mexico,Tropical cyclone,2
2012,Nicaragua,Riverine flood,1
2012,Panama,Riverine flood,2
2012,Paraguay,Drought,1
2012,Paraguay,Riverine flood,1
2012,Paraguay,Severe weather,1
2012,Peru,Cold wave,1
2012,Peru,Ground movement,1
2012,Peru,Landslide (wet),1
2012,Peru,Riverine flood,1
2012,Puerto Rico,Tropical cyclone,1
2012,United States of America,Blizzard/Winter storm,3
2012,United States of America,Drought,2
2012,United States of America,Heat wave,1
2012,United States of America,Lightning/Thunderstorms,6
2012,United States of America,Riverine flood,1
2012,United States of America,Severe weather,2
2012,United States of America,Tornado,5
2012,United States of America,Tropical cyclone,3
2012,United States of America,Wildfire (General),2
2012,Venezuela (Bolivarian Republic of),Riverine flood,1
2013,Argentina,Lightning/Thunderstorms,1
2013,Argentina,Riverine flood,1
2013,Bahamas,Riverine flood,1
2013,Bolivia (Plurinational State of),Drought,1
2013,Bolivia (Plurinational State of),Heat wave,1
2013,Bolivia (Plurinational State of),Landslide (wet),1
2013,Bolivia (Plurinational State of),Riverine flood,2
2013,Brazil,Riverine flood,5
2013,Brazil,Storm (General),1
2013,Canada,Lightning/Thunderstorms,1
2013,Canada,Riverine flood,1
2013,Canada,Severe winter conditions,1
2013,Chile,Severe winter conditions,1
2013,Colombia,Ground movement,1
2013,Colombia,Riverine flood,1
2013,Cuba,Riverine flood,1
2013,Dominican Republic,Riverine flood,1
2013,Ecuador,Drought,1
2013,Ecuador,Landslide (wet),2
2013,Ecuador,Riverine flood,1
2013,El Salvador,Ash fall,1
2013,Guatemala,Ground movement,1
2013,Haiti,Riverine flood,1
2013,Mexico,Riverine flood,1
2013,Mexico,Tropical cyclone,4
2013,Nicaragua,Riverine flood,1
2013,Panama,Drought,1
2013,Paraguay,Drought,1
2013,Paraguay,Riverine flood,1
2013,Paraguay,Storm (General),1
2013,Peru,Ash fall,1
2013,Peru,Ground movement,1
2013,Peru,Riverine flood,2
2013,Peru,Severe winter conditions,1
2013,Saint Lucia,Riverine flood,1
2013,Saint Vincent and the Grenadines,Riverine flood,1
2013,United States of America,Blizzard/Winter storm,5
2013,United States of America,Forest fire,3
2013,United States of America,Lightning/Thunderstorms,2
2013,United States of America,Riverine flood,7
2013,United States of America,Severe weather,3
2013,United States of America,Severe winter conditions,1
2013,United States of America,Tornado,5
2013,United States of America,Wildfire (General),2
2014,Argentina,Flood (General),1
2014,Argentina,Landslide (wet),1
2014,Argentina,Riverine flood,2
2014,Bolivia (Plurinational State of),Drought,1
2014,Bolivia (Plurinational State of),Landslide (wet),1
2014,Bolivia (Plurinational State of),Riverine flood,1
2014,Brazil,Drought,1
2014,Brazil,Flash flood,2
2014,Brazil,Riverine flood,2
2014,Canada,Cold wave,1
