Start Year,Country,province,Disaster Subtype,COUNT
2006,China,Yunnan Sheng,riverine flood,1
2006,India,Karnataka,riverine flood,1
2006,Indonesia,Bali,landslide (wet),1
2006,Indonesia,Jawa Tengah,landslide (wet),1
2006,Indonesia,Jawa Tengah,riverine flood,1
2006,Iran (Islamic Republic of),Lorestan,ground movement,1
2006,Iraq,Missan,riverine flood,1
2006,Japan,Yamaguti,tropical cyclone,1
2006,Malaysia,Johor,flash flood,1
2006,Philippines,Region IX,riverine flood,1
2006,Philippines,Region XI,riverine flood,1
2006,Sri Lanka,Sabaragamuwa,riverine flood,1
2006,Tajikistan,Khatlon,ground movement,1
2006,Thailand,Phangnga,riverine flood,1
2006,Thailand,Uttaradit,flash flood,1
2006,Türkiye,Antalya,flash flood,1
2006,Viet Nam,Can Tho City,tropical cyclone,1
2006,Viet Nam,Phu Tho,riverine flood,1
2006,Viet Nam,Quang Ngai,tropical cyclone,1
2007,Bangladesh,Dhaka,riverine flood,1
2007,Cambodia,Preah Vihear,riverine flood,1
2007,China,Anhui Sheng,tornado,1
2007,China,Chongqing Shi,flash flood,1
2007,China,Fujian Sheng,tropical cyclone,1
2007,China,Guangdong Sheng,tropical cyclone,1
2007,China,Shandong Sheng,riverine flood,1
2007,China,Sichuan Sheng,riverine flood,1
2007,China,Sichuan Sheng,storm (general),1
2007,China,Xinjiang Uygur Zizhiqu,riverine flood,1
2007,China,Yunnan Sheng,riverine flood,1
2007,Indonesia,Sumatera Barat,ground movement,1
2007,Iran (Islamic Republic of),Esfahan,flash flood,1
2007,Japan,Nagano,tropical cyclone,1
2007,Japan,Tokusima,tropical cyclone,1
2007,Japan,Toyama,ground movement,2
2007,Kyrgyzstan,Osh,riverine flood,1
2007,Malaysia,Pahang,riverine flood,1
2007,Malaysia,Terengganu,riverine flood,1
2007,Nepal,Central,riverine flood,1
2007,Philippines,Region VIII,riverine flood,1
2007,Philippines,Region X,coastal flood,1
2007,Sri Lanka,Western,flash flood,1
2007,Thailand,Surat Thani,riverine flood,1
2007,Viet Nam,Da Nang City,coastal flood,1
2007,Viet Nam,Ha Tinh,coastal flood,1
2007,Viet Nam,Ninh Binh,tropical cyclone,1
2007,Viet Nam,Quan Binh,riverine flood,1
2007,Viet Nam,Quang Nam,riverine flood,1
2008,China,Anhui Sheng,tropical cyclone,1
2008,China,Guangdong Sheng,tropical cyclone,1
2008,China,Guangxi Zhuangzu Zizhiqu,riverine flood,2
2008,China,Hubei Sheng,riverine flood,1
2008,China,Jiangsu Sheng,drought,1
2008,China,Jiangxi Sheng,severe winter conditions,1
2008,China,Jiangxi Sheng,tropical cyclone,1
2008,China,Sichuan Sheng,ground movement,2
2008,China,Sichuan Sheng,tropical cyclone,1
2008,China,Yunnan Sheng,riverine flood,2
2008,India,Assam,riverine flood,1
2008,India,Jharkhand,flash flood,1
2008,India,Karnataka,flood (general),1
2008,Indonesia,Gorontalo,riverine flood,1
2008,Japan,Akita,ground movement,1
2008,Kazakhstan,Kyzylordinskaya,riverine flood,1
2008,Myanmar,Ayeyawaddy,tropical cyclone,1
2008,Nepal,Eastern,riverine flood,1
2008,Pakistan,Balochistan,ground movement,1
2008,Pakistan,Balochistan,riverine flood,1
2008,Philippines,Region II,flash flood,1
2008,Philippines,Region IV,riverine flood,1
2008,Philippines,Region XI,riverine flood,2
2008,Philippines,Region XII,riverine flood,1
2008,Thailand,Narathiwat,flash flood,1
2008,Thailand,Pattani,flash flood,1
2008,Viet Nam,Ha Noi City,riverine flood,1
2008,Viet Nam,Ha Tinh,tropical cyclone,1
2008,Viet Nam,Quang Nam,tropical cyclone,1
2008,Viet Nam,Son La,tropical cyclone,1
2008,Viet Nam,Thanh Hoa,flash flood,1
2008,Viet Nam,Vinh Phuc,tropical cyclone,1
2008,Yemen,Al Mahwit,flash flood,1
2009,Afghanistan,Balkh,riverine flood,1
2009,China,Anhui Sheng,severe weather,1
2009,China,Chongqing Shi,drought,1
2009,China,Fujian Sheng,riverine flood,1
2009,China,Guangdong Sheng,tropical cyclone,1
2009,China,Guizhou Sheng,riverine flood,1
2009,China,Hainan Sheng,tropical cyclone,1
2009,China,Hubei Sheng,blizzard/winter storm,1
2009,China,Jiangsu Sheng,tropical cyclone,1
2009,China,Shandong Sheng,blizzard/winter storm,1
2009,China,Sichuan Sheng,landslide (wet),1
2009,China,Sichuan Sheng,riverine flood,1
2009,China,Xinjiang Uygur Zizhiqu,ground movement,1
2009,China,Yunnan Sheng,ground movement,1
2009,India,Karnataka,riverine flood,1
2009,India,Maharashtra,riverine flood,1
2009,India,Maharashtra,tropical cyclone,1
2009,Indonesia,Dki Jakarta,ground movement,1
2009,Indonesia,Nusatenggara Barat,ground movement,1
2009,Japan,Saitama,tropical cyclone,1
2009,Japan,Tookyoo,tsunami,1
2009,Lao People's Democratic Republic,Salavan,tropical cyclone,1
2009,Nepal,Far Western,riverine flood,1
2009,Philippines,Region I,riverine flood,1
2009,Philippines,Region XII,flash flood,1
2009,Tajikistan,Tadzhikistan Territories,riverine flood,1
2009,Türkiye,Istanbul,flash flood,1
2009,Viet Nam,Gia Lai,tropical cyclone,1
2009,Viet Nam,Quang Tri,tropical cyclone,1
2009,Viet Nam,Yen Bai,tropical cyclone,1
2010,Cambodia,Pursat,riverine flood,1
2010,China,Gansu Sheng,landslide (wet),1
2010,China,Gansu Sheng,riverine flood,1
2010,China,Guangdong Sheng,tropical cyclone,1
2010,China,Hainan Sheng,riverine flood,1
2010,China,Qinghai Sheng,ground movement,1
2010,China,Shanxi Sheng,drought,1
2010,China,Sichuan Sheng,ground movement,1
2010,India,Kerala,riverine flood,1
2010,India,Uttar Pradesh,riverine flood,1
2010,Indonesia,Papua Barat,flash flood,1
2010,Israel,Haifa,forest fire,1
2010,Myanmar,Rakhine,tropical cyclone,1
2010,Oman,Muscat,tropical cyclone,1
2010,Pakistan,Balochistan,tropical cyclone,1
2010,Pakistan,Sindh,flash flood,1
2010,Philippines,Region XII,flash flood,1
2010,Philippines,Region XIII,flash flood,1
2010,Sri Lanka,North Western,riverine flood,1
2010,Tajikistan,Badakhshoni,ground movement,1
2010,Thailand,Ranong,riverine flood,1
2010,Viet Nam,Dak Lak,riverine flood,1
2010,Viet Nam,Ha Tinh,tropical cyclone,1
2010,Viet Nam,Quang Binh,riverine flood,1
2010,Viet Nam,Quang Nam,riverine flood,1
2010,Viet Nam,Quang Ninh,tropical cyclone,1
2011,Afghanistan,Ghor,drought,1
2011,Cambodia,Pursat,riverine flood,1
2011,China,Guangxi Zhuangzu Zizhiqu,cold wave,1
2011,China,Hainan Sheng,tropical cyclone,1
2011,China,Henan Sheng,riverine flood,1
2011,China,Xinjiang Uygur Zizhiqu,ground movement,1
2011,China,Xizang Zizhiqu,riverine flood,1
2011,China,Yunnan Sheng,ground movement,1
2011,China,Zhejiang Sheng,riverine flood,1
2011,India,Uttarakhand,riverine flood,1
2011,Indonesia,Nangroe Aceh Darussalam,ground movement,1
2011,Japan,Kooti,tropical cyclone,1
2011,Japan,Kumamoto,tropical cyclone,1
2011,Japan,Nagano,tsunami,1
2011,Japan,Siga,storm (general),1
2011,Myanmar,Magway,flash flood,1
2011,Nepal,Western,cold wave,1
2011,Philippines,Region XI,flash flood,1
2011,Philippines,Region XII,flash flood,1
2011,Sri Lanka,Uva,riverine flood,2
2011,Thailand,Phangnga,flash flood,1
2011,Thailand,Samut Sakhon,riverine flood,1
2011,Türkiye,Hakkari,ground movement,1
2011,Viet Nam,Kien Giang,riverine flood,1
2012,China,Beijing Shi,riverine flood,1
2012,China,Fujian Sheng,tropical cyclone,1
2012,China,Gansu Sheng,riverine flood,1
2012,China,Guangdong Sheng,lightning/thunderstorms,1
2012,China,Guangxi Zhuangzu Zizhiqu,tropical cyclone,2
2012,China,Guizhou Sheng,riverine flood,1
2012,China,Jiangsu Sheng,lightning/thunderstorms,1
2012,China,Shandong Sheng,riverine flood,2
2012,China,Shandong Sheng,tropical cyclone,1
2012,China,Sichuan Sheng,ground movement,1
2012,China,Yunnan Sheng,ground movement,1
2012,China,Yunnan Sheng,riverine flood,1
2012,China,Zhejiang Sheng,tropical cyclone,2
2012,Georgia,Kakheti,lightning/thunderstorms,1
2012,India,Himachal Pradesh,riverine flood,1
2012,Indonesia,Jawa Barat,storm (general),1
2012,Iran (Islamic Republic of),East Azarbayejan,ground movement,1
2012,Japan,Aomori,blizzard/winter storm,1
2012,Japan,Kagosima,tropical cyclone,1
2012,Japan,Mie,tropical cyclone,1
2012,Japan,Ooita,riverine flood,1
2012,Myanmar,Sagaing,ground movement,1
2012,Nepal,Western,riverine flood,1
2012,Pakistan,Jammu and Kashmir,riverine flood,1
2012,Republic of Korea,Taejon,tropical cyclone,1
2012,Sri Lanka,Western,tropical cyclone,1
2012,Thailand,Phuket,drought,1
2012,Viet Nam,Hai Phong City,tropical cyclone,2
2012,Viet Nam,Nghe An,riverine flood,1
2013,Bangladesh,Chittagong,severe weather,1
2013,Cambodia,Kampot,riverine flood,1
2013,China,Anhui Sheng,tropical cyclone,1
2013,China,Chongqing Shi,riverine flood,1
2013,China,Fujian Sheng,tropical cyclone,2
2013,China,Guangdong Sheng,lightning/thunderstorms,1
2013,China,Guangxi Zhuangzu Zizhiqu,lightning/thunderstorms,1
2013,China,Guizhou Sheng,riverine flood,2
2013,China,Hainan Sheng,tropical cyclone,1
2013,China,Hubei Sheng,ground movement,1
2013,China,Jiangsu Sheng,blizzard/winter storm,1
2013,China,Jiangxi Sheng,riverine flood,1
2013,China,Liaoning Sheng,riverine flood,1
2013,China,Nei Mongol Zizhiqu,riverine flood,1
2013,China,Shandong Sheng,riverine flood,1
2013,China,Shanghai Shi,tropical cyclone,1
2013,China,Sichuan Sheng,ground movement,1
2013,China,Sichuan Sheng,lightning/thunderstorms,1
2013,China,Sichuan Sheng,riverine flood,4
2013,China,Yunnan Sheng,ground movement,2
2013,China,Yunnan Sheng,landslide (dry),1
2013,China,Yunnan Sheng,lightning/thunderstorms,1
2013,China,Yunnan Sheng,riverine flood,1
2013,China,Yunnan Sheng,tropical cyclone,1
2013,India,Chhattisgarh,tropical cyclone,1
2013,India,West Bengal,riverine flood,2
2013,Iran (Islamic Republic of),Bushehr,ground movement,1
2013,Japan,Kagosima,tropical cyclone,1
2013,Japan,Kyooto,tropical cyclone,1
2013,Japan,Yamaguti,riverine flood,1
2013,Lao People's Democratic Republic,Xekong,riverine flood,1
2013,Malaysia,Kelantan,riverine flood,1
2013,Philippines,Region IV,riverine flood,2
2013,Philippines,Region XIII,riverine flood,1
2013,Sri Lanka,North Western,riverine flood,1
2013,Taiwan (Province of China),Taiwan Sheng,ground movement,1
2013,Taiwan (Province of China),Taiwan Sheng,tropical cyclone,1
2013,Thailand,Ubon Ratchathani,riverine flood,1
2013,Viet Nam,Kon Tum,riverine flood,1
2013,Viet Nam,Quang Nam,tropical cyclone,1
2013,Viet Nam,Quang Ngai,tropical cyclone,1
2013,Viet Nam,Thanh Hoa,tropical cyclone,1
2013,Viet Nam,Tuyen Quang,riverine flood,1
2013,Viet Nam,Yen Bai,tropical cyclone,1
2014,Cambodia,Takeo,flash flood,1
2014,China,Chongqing Shi,riverine flood,1
2014,China,Fujian Sheng,riverine flood,1
2014,China,Fujian Sheng,tropical cyclone,1
2014,China,Gansu Sheng,riverine flood,1
2014,China,Guangxi Zhuangzu Zizhiqu,tropical cyclone,1
2014,China,Guizhou Sheng,flash flood,1
2014,China,Guizhou Sheng,lightning/thunderstorms,3
2014,China,Guizhou Sheng,riverine flood,1
2014,China,Hainan Sheng,blizzard/winter storm,1
2014,China,Heilongjiang Sheng,lightning/thunderstorms,1
2014,China,Henan Sheng,blizzard/winter storm,1
2014,China,Henan Sheng,drought,1
2014,China,Hunan Sheng,riverine flood,2
2014,China,Nei Mongol Zizhiqu,blizzard/winter storm,1
2014,China,Nei Mongol Zizhiqu,drought,1
2014,China,Qinghai Sheng,severe weather,1
2014,China,Shandong Sheng,tropical cyclone,1
2014,China,Sichuan Sheng,riverine flood,1
2014,China,Xinjiang Uygur Zizhiqu,ground movement,1
2014,China,Yunnan Sheng,ground movement,5
2014,China,Yunnan Sheng,riverine flood,1
2014,China,Yunnan Sheng,tropical cyclone,1
2014,China,Zhejiang Sheng,blizzard/winter storm,1
2014,China,Zhejiang Sheng,flood (general),1
2014,China,Zhejiang Sheng,lightning/thunderstorms,1
2014,India,Andhra Pradesh,tropical cyclone,1
2014,India,Meghalaya,riverine flood,1
2014,Indonesia,Dki Jakarta,riverine flood,1
2014,Indonesia,Jawa Timur,riverine flood,1
2014,Iran (Islamic Republic of),Golestan,flood (general),1
2014,Iran (Islamic Republic of),Hormozgan,ground movement,1
2014,Iran (Islamic Republic of),Ilam,ground movement,1
2014,Japan,Hokkaidoo,tropical cyclone,1
2014,Japan,Kanagawa,tropical cyclone,1
2014,Japan,Nagano,ground movement,1
2014,Japan,Sizuoka,tropical cyclone,1
2014,Japan,Tokusima,tropical cyclone,1
2014,Japan,Yamagata,blizzard/winter storm,1
2014,Japan,Yamanasi,blizzard/winter storm,1
2014,Malaysia,Perlis,riverine flood,1
2014,Nepal,Central,landslide (wet),1
2014,Pakistan,Jammu and Kashmir,riverine flood,1
2014,Pakistan,Sindh,heat wave,1
2014,Tajikistan,Khatlon,flash flood,1
2014,Thailand,Nan,ground movement,1
