Country,province,Disaster Subtype,rate
Iran (Islamic Republic of),Khuzestan,flood (general),0.0001137915339098771
Iran (Islamic Republic of),Kohgiluyeh va boyerahma,flash flood,0.0001137915339098771
Iran (Islamic Republic of),Lorestan,blizzard/winter storm,0.0001137915339098771
Iran (Islamic Republic of),Lorestan,ground movement,0.0002275830678197542
Iran (Islamic Republic of),Mazandaran,ground movement,0.0001137915339098771
Iran (Islamic Republic of),North Khorasan,ground movement,0.0001137915339098771
Iran (Islamic Republic of),Semnan,flash flood,0.0001137915339098771
Iran (Islamic Republic of),Semnan,ground movement,0.0001137915339098771
Iran (Islamic Republic of),Semnan,riverine flood,0.0001137915339098771
Iran (Islamic Republic of),West Azarbayejan,flash flood,0.0001137915339098771
Iran (Islamic Republic of),Yazd,flash flood,0.0001137915339098771
Iraq,Baghdad,riverine flood,0.0001137915339098771
Iraq,Erbil,flash flood,0.0001137915339098771
Iraq,Missan,riverine flood,0.0001137915339098771
Iraq,Wassit,flash flood,0.0001137915339098771
Israel,Haifa,forest fire,0.0001137915339098771
Israel,Haifa,"land fire (brush, bush, pasture)",0.0001137915339098771
Israel,Tel Aviv,blizzard/winter storm,0.0001137915339098771
Israel,Tel Aviv,heat wave,0.0001137915339098771
Israel,Tel Aviv,sand/dust storm,0.0001137915339098771
Israel,Tel Aviv,storm (general),0.0001137915339098771
Japan,Aiti,tropical cyclone,0.0001137915339098771
Japan,Akita,ground movement,0.0001137915339098771
Japan,Akita,tropical cyclone,0.0001137915339098771
Japan,Aomori,blizzard/winter storm,0.0001137915339098771
Japan,Aomori,ground movement,0.0001137915339098771
Japan,Ehime,ground movement,0.0001137915339098771
Japan,Ehime,tropical cyclone,0.0001137915339098771
Japan,Gifu,coastal flood,0.0001137915339098771
Japan,Gifu,tropical cyclone,0.0001137915339098771
Japan,Hirosima,riverine flood,0.0001137915339098771
